行 33: 控件 PB 的类 DDM6000_Calitor.progressbar 不是一个已加载的控件类。
行 471: 控件 MSComm 的类 MSCommLib.MSComm 不是一个已加载的控件类。
行 479: 控件 MSComm1 的类 MSCommLib.MSComm 不是一个已加载的控件类。
行 490: 控件 so 的类 MSComDlg.CommonDialog 不是一个已加载的控件类。
行 497: 控件 MSComm0 的类 MSCommLib.MSComm 不是一个已加载的控件类。
行 40: 属性名 _ExtentX 在 PB 中是无效的。
行 41: 属性名 _ExtentY 在 PB 中是无效的。
行 51: 属性名 BrushStyle 在 PB 中是无效的。
行 52: 属性名 Color 在 PB 中是无效的。
行 53: 属性名 Max 在 PB 中是无效的。
行 54: 属性名 Color2 在 PB 中是无效的。
行 474: 属性名 _ExtentX 在 MSComm 中是无效的。
行 475: 属性名 _ExtentY 在 MSComm 中是无效的。
行 476: 属性名 _Version 在 MSComm 中是无效的。
行 477: 属性名 DTREnable 在 MSComm 中是无效的。
行 482: 属性名 _ExtentX 在 MSComm1 中是无效的。
行 483: 属性名 _ExtentY 在 MSComm1 中是无效的。
行 484: 属性名 _Version 在 MSComm1 中是无效的。
行 485: 属性名 DTREnable 在 MSComm1 中是无效的。
行 486: 属性名 RThreshold 在 MSComm1 中是无效的。
行 487: 属性名 SThreshold 在 MSComm1 中是无效的。
行 488: 属性名 InputMode 在 MSComm1 中是无效的。
行 493: 属性名 _ExtentX 在 so 中是无效的。
行 494: 属性名 _ExtentY 在 so 中是无效的。
行 495: 属性名 _Version 在 so 中是无效的。
行 500: 属性名 _ExtentX 在 MSComm0 中是无效的。
行 501: 属性名 _ExtentY 在 MSComm0 中是无效的。
行 502: 属性名 _Version 在 MSComm0 中是无效的。
行 503: 属性名 DTREnable 在 MSComm0 中是无效的。
行 504: 属性名 RThreshold 在 MSComm0 中是无效的。
行 505: 属性名 InputMode 在 MSComm0 中是无效的。
